,PM2.5_Concentration(microgram/m3),Ozone_Concentration(microgram/m3),NOx_Concentration(ppb),Temperature(Celsius),Wind_Speed(m/s),Relative_Humidity(%),Solar_Radiation(w/m2)
2015-05-21 01:00:00,91.0,17.86,77.06,28.23,1.11,37.08,3.5
2015-05-21 02:00:00,93.0,17.9,65.37,27.97,1.67,40.5,3.17
2015-05-21 03:00:00,104.17,22.23,48.84,27.25,1.3,44.92,3.5
2015-05-21 04:00:00,114.33,11.43,61.31,26.5,1.07,48.92,3.58
2015-05-21 05:00:00,137.64,10.53,80.9,26.03,1.41,50.0,12.42
2015-05-21 06:00:00,147.09,10.93,58.21,27.1,1.97,50.25,86.58
2015-05-21 07:00:00,172.0,11.31,62.63,29.76,1.92,43.0,223.42
2015-05-21 08:00:00,182.0,40.67,59.04,32.07,2.38,36.92,333.75
2015-05-21 09:00:00,132.0,29.98,47.96,35.13,2.2,30.75,371.83
2015-05-21 12:00:00,111.0,136.85,33.82,41.74,2.53,13.25,392.25
2015-05-21 13:00:00,51.0,137.0,22.19,42.06,2.72,11.92,385.58
2015-05-21 14:00:00,49.83,135.03,27.1,41.87,2.81,10.83,376.17
2015-05-21 15:00:00,44.0,135.1,24.97,41.71,2.82,10.17,356.0
2015-05-21 16:00:00,42.5,138.9,27.33,41.04,2.3,10.08,264.42
2015-05-21 22:00:00,162.4,10.27,234.45,32.23,1.33,22.58,3.67
2015-05-21 23:00:00,107.5,11.69,83.75,32.18,1.78,23.92,3.67
2015-05-22 00:00:00,62.17,9.7,62.83,30.52,0.3,28.5,3.92
2015-05-22 11:00:00,61.0,141.45,43.87,40.71,2.45,15.42,391.08
2015-05-22 12:00:00,59.33,202.78,26.6,42.71,1.98,11.58,390.92
2015-05-22 13:00:00,50.0,210.94,21.21,42.97,2.48,9.0,385.08
2015-05-22 14:00:00,44.83,193.49,22.86,43.03,3.17,7.25,376.75
2015-05-22 15:00:00,43.83,175.84,36.67,42.56,2.89,7.0,355.08
2015-05-22 16:00:00,43.83,156.56,35.75,42.08,2.53,7.0,267.83
2015-05-22 17:00:00,48.33,139.87,38.05,40.71,1.74,7.33,105.75
2015-05-22 18:00:00,49.67,61.13,128.69,36.23,0.55,15.75,20.92
2015-05-22 19:00:00,49.0,22.2,130.93,36.42,1.87,12.5,3.92
2015-05-22 20:00:00,52.17,31.88,148.63,35.08,1.27,15.42,3.75
2015-05-22 21:00:00,49.17,13.27,227.06,32.91,1.25,19.42,3.67
2015-05-22 22:00:00,74.18,21.41,104.65,32.91,0.59,18.92,3.92
2015-05-22 23:00:00,50.33,12.31,253.78,29.59,0.3,28.08,3.67
2015-05-23 00:00:00,61.33,7.03,278.2,29.92,1.08,26.0,3.83
2015-05-23 01:00:00,55.33,27.27,65.47,32.11,1.78,20.58,3.67
2015-05-23 02:00:00,40.33,22.18,63.61,30.8,1.36,23.92,3.42
2015-05-23 03:00:00,33.5,14.08,77.72,30.09,1.83,25.67,3.42
2015-05-23 04:00:00,41.33,16.93,65.57,29.45,1.58,27.33,3.42
2015-05-23 05:00:00,44.0,8.46,86.39,28.47,1.32,29.75,12.58
2015-05-23 06:00:00,53.67,15.03,85.2,29.51,2.01,29.25,84.67
2015-05-23 07:00:00,73.83,25.52,66.26,32.63,1.88,25.67,220.67
2015-05-23 08:00:00,61.33,44.31,39.89,35.12,2.71,22.75,329.17
2015-05-23 09:00:00,79.33,67.92,31.54,38.15,2.65,18.08,365.42
2015-05-23 10:00:00,89.0,86.38,23.33,40.31,2.68,16.42,377.08
2015-05-23 11:00:00,104.83,97.1,19.79,41.79,2.83,14.33,383.92
2015-05-23 12:00:00,103.5,144.48,17.22,42.99,2.93,10.42,385.25
2015-05-23 13:00:00,72.83,166.03,13.67,44.68,2.35,7.25,379.67
2015-05-23 14:00:00,55.5,152.36,13.48,44.09,3.07,7.67,363.75
2015-05-23 15:00:00,49.83,133.02,17.46,43.1,2.68,10.08,295.83
2015-05-23 16:00:00,61.67,122.46,24.97,42.84,2.85,7.75,258.92
2015-05-23 17:00:00,73.55,120.06,32.77,41.28,1.96,8.0,113.67
2015-05-23 18:00:00,63.91,67.47,70.53,38.89,1.01,10.75,30.58
2015-05-23 19:00:00,53.09,11.86,168.02,36.41,0.73,15.08,4.0
2015-05-23 20:00:00,67.0,13.02,202.16,35.28,0.42,16.67,3.5
2015-05-23 21:00:00,76.83,10.39,291.03,33.4,0.38,21.17,3.75
2015-05-23 22:00:00,116.17,12.35,104.9,34.93,0.79,13.92,3.5
2015-05-23 23:00:00,66.17,12.39,187.4,32.27,0.41,19.5,3.67
2015-05-24 00:00:00,68.0,127.58,127.93,32.35,1.83,22.67,3.58
2015-05-24 01:00:00,93.67,125.75,88.23,30.97,1.24,26.75,3.42
2015-05-24 02:00:00,71.33,155.09,82.58,30.28,1.39,27.08,3.67
2015-05-24 03:00:00,67.5,106.9,93.57,28.83,0.71,29.67,3.58
2015-05-24 04:00:00,66.33,89.33,90.23,27.96,0.48,30.58,3.08
2015-05-24 05:00:00,74.0,45.43,109.22,27.37,0.81,32.92,12.58
2015-05-24 06:00:00,85.0,77.16,164.35,29.08,0.48,31.83,83.25
2015-05-24 07:00:00,112.67,61.87,110.25,33.05,0.92,25.58,215.58
2015-05-24 08:00:00,97.83,40.63,62.42,36.1,1.47,19.17,324.17
2015-05-24 09:00:00,78.0,73.41,68.53,38.84,1.48,14.42,360.5
2015-05-24 10:00:00,58.17,142.86,26.88,40.29,2.06,12.67,377.83
2015-05-24 11:00:00,58.33,175.11,18.57,41.57,1.95,12.08,382.08
2015-05-24 12:00:00,54.17,175.25,10.52,42.2,1.8,12.58,385.83
2015-05-24 13:00:00,50.33,178.72,14.87,43.14,1.87,12.5,379.33
2015-05-24 14:00:00,53.0,197.61,11.91,42.73,1.72,12.83,365.75
2015-05-24 15:00:00,60.67,189.65,12.73,42.45,1.87,13.92,330.42
2015-05-24 16:00:00,78.0,153.9,20.7,41.08,1.18,16.75,221.75
2015-05-24 17:00:00,100.5,119.2,46.03,40.23,0.73,17.75,122.75
2015-05-24 18:00:00,112.0,44.04,91.38,38.0,0.47,15.58,34.0
2015-05-24 19:00:00,112.5,16.03,234.42,34.39,0.3,25.92,4.25
2015-05-24 20:00:00,152.67,17.71,486.31,32.88,0.3,31.33,4.08
2015-05-24 21:00:00,212.5,7.93,575.2,32.43,0.3,31.42,3.67
2015-05-24 22:00:00,194.0,8.96,559.2,31.56,0.3,34.08,3.42
2015-05-24 23:00:00,184.17,9.73,576.62,31.12,0.3,33.75,3.33
2015-05-25 00:00:00,159.0,14.47,431.24,30.63,0.3,35.08,3.58
2015-05-25 01:00:00,151.17,13.08,396.0,30.06,0.3,37.17,3.83
2015-05-25 02:00:00,136.67,13.72,403.95,29.19,0.33,40.75,3.25
2015-05-25 03:00:00,134.83,13.65,359.42,29.09,0.32,39.17,3.67
2015-05-25 04:00:00,132.17,10.33,320.55,27.87,0.3,43.92,3.83
2015-05-25 05:00:00,126.33,16.38,309.8,27.28,0.3,47.5,12.25
2015-05-25 11:00:00,95.5,91.13,21.96,42.43,2.46,13.25,384.08
2015-05-25 12:00:00,85.17,120.21,19.97,44.03,2.48,9.67,385.08
2015-05-25 13:00:00,66.83,126.02,14.61,44.41,2.81,7.33,381.33
2015-05-25 14:00:00,46.73,130.97,14.85,44.43,2.78,7.0,368.58
2015-05-25 15:00:00,49.5,115.29,20.56,43.32,2.95,7.0,227.5
2015-05-25 16:00:00,49.0,92.43,29.21,41.77,1.63,9.0,202.58
2015-05-25 17:00:00,61.33,84.98,37.1,41.26,3.67,9.25,115.58
2015-05-25 18:00:00,72.33,72.35,50.93,40.05,2.72,8.5,32.75
2015-05-25 19:00:00,75.0,51.9,68.01,38.82,2.19,8.0,4.08
2015-05-25 20:00:00,110.0,38.46,83.1,37.98,1.78,8.08,3.92
2015-05-25 21:00:00,135.91,26.13,96.05,36.98,0.92,9.17,3.75
2015-05-25 22:00:00,139.17,16.59,156.22,34.13,0.32,13.92,4.25
2015-05-25 23:00:00,135.83,14.12,115.59,32.8,0.43,15.92,4.0
2015-05-26 00:00:00,145.5,7.43,206.97,30.96,0.34,19.92,3.75
2015-05-26 01:00:00,163.83,11.09,123.6,30.82,0.3,18.17,3.58
2015-05-26 02:00:00,116.33,10.51,116.22,29.21,0.46,22.5,3.67
2015-05-26 03:00:00,107.45,9.32,105.34,30.27,0.91,17.08,3.83
2015-05-26 04:00:00,121.83,20.43,77.47,29.5,0.66,17.92,3.67
2015-05-26 05:00:00,193.83,22.18,73.12,29.35,1.02,18.92,14.17
2015-05-26 06:00:00,125.33,24.7,85.52,30.8,1.24,21.58,87.92
2015-05-26 07:00:00,89.83,13.57,120.83,34.14,0.71,25.75,212.25
2015-05-26 08:00:00,104.17,28.93,48.16,36.69,1.93,24.75,321.92
2015-05-26 09:00:00,102.5,47.52,26.15,38.09,2.7,23.75,362.83
2015-05-26 10:00:00,89.67,72.72,13.82,39.67,2.76,20.0,380.42
2015-05-26 11:00:00,84.83,93.68,14.31,42.41,1.91,14.08,386.08
2015-05-26 12:00:00,68.67,120.73,14.6,43.1,3.02,11.67,385.42
2015-05-26 13:00:00,67.83,117.69,11.93,43.57,2.91,10.0,380.67
2015-05-26 14:00:00,77.33,109.98,12.74,44.18,3.34,7.08,371.25
2015-05-26 15:00:00,116.5,115.25,18.65,43.92,2.82,7.0,350.17
2015-05-26 16:00:00,193.33,112.37,20.63,42.7,2.45,7.0,265.33
2015-05-26 17:00:00,229.83,96.18,36.03,40.85,2.0,8.0,119.08
2015-05-26 18:00:00,53.83,59.03,74.44,38.8,1.33,9.92,35.0
2015-05-26 19:00:00,56.17,16.97,179.98,36.06,0.47,12.25,4.33
2015-05-26 20:00:00,80.67,13.28,303.65,33.94,0.74,15.83,3.5
2015-05-26 21:00:00,115.5,86.29,67.17,35.15,2.06,14.92,3.92
2015-05-26 22:00:00,75.33,102.28,60.27,33.96,2.13,17.58,3.92
2015-05-26 23:00:00,85.67,112.92,53.56,32.62,1.8,19.08,3.75
2015-05-27 00:00:00,84.33,101.36,37.96,30.97,1.27,21.42,3.42
2015-05-27 01:00:00,105.83,73.58,47.64,29.21,0.37,23.92,3.58
2015-05-27 02:00:00,78.5,74.46,48.47,27.88,0.55,24.67,3.42
2015-05-27 03:00:00,69.83,66.88,46.68,26.18,0.3,27.08,3.42
2015-05-27 04:00:00,65.45,22.94,93.2,25.42,0.32,27.58,3.58
2015-05-27 05:00:00,74.83,25.77,86.8,25.13,0.64,26.08,14.67
2015-05-27 06:00:00,100.5,15.15,144.56,26.58,0.91,26.83,100.0
2015-05-27 07:00:00,161.5,36.4,126.56,30.15,0.89,22.42,250.25
2015-05-27 08:00:00,175.5,102.7,84.26,33.59,1.18,18.17,344.33
2015-05-27 09:00:00,153.5,216.05,72.53,36.17,1.7,14.17,376.25
2015-05-27 16:00:00,59.0,180.25,55.5,40.68,2.52,7.0,282.08
2015-05-27 17:00:00,74.6,161.16,39.61,39.38,1.96,7.0,107.75
2015-05-27 18:00:00,33.33,113.54,72.88,37.05,0.93,7.92,35.33
2015-05-27 19:00:00,28.5,22.2,209.03,33.38,0.32,13.75,4.58
2015-05-27 20:00:00,49.17,15.92,433.1,30.53,0.3,21.83,4.08
2015-05-27 21:00:00,77.33,16.53,789.94,29.21,0.3,27.33,4.0
2015-05-27 22:00:00,138.5,11.13,678.23,28.96,0.3,26.25,4.17
2015-05-27 23:00:00,152.67,15.23,572.76,27.89,0.3,28.83,4.0
2015-05-28 00:00:00,253.33,10.47,485.77,27.15,0.3,29.42,3.58
2015-05-28 01:00:00,303.64,12.05,398.81,26.43,0.3,30.75,3.67
2015-05-28 02:00:00,149.33,11.57,360.97,27.14,1.42,27.58,3.58
2015-05-28 03:00:00,185.67,30.13,63.71,28.37,0.62,18.5,3.42
2015-05-28 04:00:00,160.33,44.31,36.8,28.94,3.8,24.08,3.5
2015-05-28 05:00:00,341.17,19.4,12.63,27.61,3.97,37.33,13.67
2015-05-28 06:00:00,529.0,23.27,16.27,27.13,2.49,39.92,78.5
2015-05-28 07:00:00,234.5,16.97,34.42,28.47,1.33,38.83,192.0
2015-05-28 08:00:00,223.67,15.48,72.99,30.97,1.95,35.17,278.25
2015-05-28 09:00:00,280.67,23.29,63.22,33.84,1.98,30.75,368.83
2015-05-28 10:00:00,294.17,50.24,47.33,37.25,1.62,23.75,382.67
2015-05-28 11:00:00,379.5,78.75,44.38,38.94,1.94,20.58,384.25
2015-05-28 12:00:00,283.33,101.53,38.12,39.65,1.79,19.33,382.83
2015-05-28 13:00:00,194.0,97.3,40.86,40.32,1.26,19.25,374.08
2015-05-28 14:00:00,211.83,182.83,28.68,40.38,1.51,17.17,360.75
2015-05-28 15:00:00,196.67,211.02,32.66,40.33,1.12,16.42,323.92
2015-05-28 16:00:00,173.83,150.75,40.98,39.27,1.01,18.17,222.08
2015-05-28 17:00:00,165.5,114.84,46.76,38.18,0.53,19.5,110.17
2015-05-28 18:00:00,149.0,43.21,119.74,36.13,0.36,22.0,32.75
2015-05-28 19:00:00,129.0,12.02,294.71,33.71,0.31,27.5,3.58
2015-05-28 20:00:00,143.83,14.45,550.9,32.12,0.32,33.58,3.58
2015-05-28 21:00:00,223.17,16.97,826.28,30.83,0.3,38.5,3.5
2015-05-28 22:00:00,243.17,14.47,975.76,30.01,0.35,40.67,3.42
2015-05-28 23:00:00,209.0,13.14,874.6,29.51,0.31,41.5,3.33
2015-05-29 00:00:00,189.33,15.63,826.11,28.67,0.3,43.58,3.5
2015-05-29 01:00:00,209.83,16.48,605.76,27.78,0.3,44.67,3.42
2015-05-29 02:00:00,171.67,14.5,484.87,26.81,0.3,46.75,3.58
2015-05-29 03:00:00,133.67,11.92,357.32,26.61,0.3,43.17,3.42
2015-05-29 04:00:00,124.5,14.58,265.64,27.32,0.58,38.08,3.42
2015-05-29 05:00:00,117.67,10.93,73.17,28.71,2.42,33.67,11.67
2015-05-29 06:00:00,134.33,16.45,24.3,28.99,2.96,35.42,50.25
2015-05-29 07:00:00,78.17,22.32,43.14,30.62,1.72,34.67,183.67
2015-05-29 08:00:00,89.83,31.25,56.22,33.18,1.36,30.75,276.92
2015-05-29 09:00:00,92.83,73.03,58.74,37.34,2.13,23.25,366.33
2015-05-29 10:00:00,85.67,105.49,48.15,38.23,2.42,20.83,381.75
2015-05-29 11:00:00,77.17,128.76,28.83,40.12,1.93,17.17,386.83
2015-05-29 12:00:00,65.17,159.95,25.4,41.48,1.33,15.5,385.5
2015-05-29 13:00:00,49.33,175.84,25.72,41.46,1.91,15.08,381.42
2015-05-29 14:00:00,40.67,162.53,18.42,41.73,1.69,14.17,371.33
2015-05-29 15:00:00,40.5,140.9,27.01,40.92,1.8,15.42,303.0
2015-05-29 16:00:00,50.5,87.45,64.63,38.73,1.72,19.5,187.67
2015-05-29 17:00:00,59.33,87.61,60.43,37.77,2.24,20.5,124.83
2015-05-29 18:00:00,44.5,106.42,57.08,35.45,2.63,24.92,40.33
2015-05-29 19:00:00,60.33,62.72,91.42,33.91,1.6,25.75,4.08
2015-05-29 20:00:00,53.5,23.29,133.8,32.6,0.64,28.67,3.25
2015-05-29 21:00:00,63.67,5.44,208.66,31.41,0.32,31.92,3.58
2015-05-29 22:00:00,83.91,7.59,308.25,30.16,0.32,36.75,3.42
2015-05-29 23:00:00,117.17,14.42,421.35,29.01,0.32,41.5,3.67
2015-05-30 00:00:00,128.17,22.79,404.0,28.9,0.3,39.33,3.67
2015-05-30 01:00:00,123.0,10.97,297.11,28.78,0.31,37.83,3.58
2015-05-30 02:00:00,97.83,9.61,186.23,28.16,0.35,38.25,3.33
2015-05-30 03:00:00,134.33,10.03,149.27,27.68,0.57,37.75,3.25
2015-05-30 04:00:00,187.67,6.97,122.72,27.23,1.15,38.08,3.17
2015-05-30 05:00:00,143.33,10.6,79.57,27.16,0.73,37.25,13.58
2015-05-30 06:00:00,140.33,12.47,115.36,28.43,0.58,37.42,86.0
2015-05-30 07:00:00,184.5,14.99,94.68,31.91,1.28,32.25,218.17
2015-05-30 08:00:00,154.33,29.64,45.38,34.07,1.71,28.83,324.17
2015-05-30 09:00:00,183.67,80.85,36.95,36.57,2.08,25.17,363.75
2015-05-30 10:00:00,137.17,113.96,27.18,38.98,2.02,20.5,380.67
2015-05-30 11:00:00,87.0,131.05,23.68,40.78,2.01,17.5,386.75
2015-05-30 12:00:00,79.83,148.43,20.13,41.45,2.76,15.17,390.83
2015-05-30 13:00:00,65.83,145.63,16.07,42.27,2.48,13.5,385.08
2015-05-30 14:00:00,50.33,158.71,13.65,42.05,2.63,13.42,373.25
2015-05-30 15:00:00,51.67,149.53,16.56,41.91,2.43,12.33,352.83
2015-05-30 16:00:00,51.33,131.92,20.95,41.08,2.04,13.0,267.5
2015-05-30 17:00:00,55.83,118.31,35.18,39.65,1.55,14.5,108.58
2015-05-30 18:00:00,47.0,105.41,48.25,37.71,0.62,17.17,33.25
2015-05-30 19:00:00,60.0,24.97,168.26,35.01,0.3,23.5,4.75
2015-05-30 20:00:00,80.17,11.39,311.26,33.5,0.3,25.08,3.33
2015-05-30 21:00:00,105.5,9.47,456.24,32.05,0.3,28.67,3.17
2015-05-30 22:00:00,106.17,8.07,507.94,30.37,0.3,32.83,3.33
2015-05-30 23:00:00,118.0,8.17,400.78,30.19,0.3,32.67,3.33
2015-05-31 00:00:00,102.83,10.98,370.55,29.14,0.3,35.58,3.5
2015-05-31 01:00:00,124.0,12.33,377.53,28.37,0.3,38.25,3.5
2015-05-31 02:00:00,115.83,8.42,201.0,29.73,1.52,31.25,3.17
2015-05-31 03:00:00,145.67,16.26,51.15,29.62,1.89,30.0,3.25
2015-05-31 04:00:00,139.33,23.3,30.78,29.88,3.16,28.33,3.5
2015-05-31 05:00:00,217.17,47.88,11.96,30.35,2.5,25.75,8.0
2015-05-31 06:00:00,208.67,38.27,30.27,30.59,0.93,28.42,68.25
2015-05-31 07:00:00,136.0,24.78,58.76,33.67,0.72,30.08,209.08
2015-05-31 08:00:00,131.5,24.95,41.77,33.71,2.73,24.92,283.5
2015-05-31 09:00:00,126.5,44.83,27.79,36.03,2.11,17.92,271.75
2015-05-31 10:00:00,85.67,72.3,26.83,38.11,3.32,13.75,334.67
2015-05-31 11:00:00,69.17,99.48,20.18,40.21,4.12,12.17,385.08
2015-05-31 12:00:00,69.83,116.75,26.63,39.98,3.53,16.92,391.83
2015-05-31 13:00:00,67.17,93.79,33.37,38.28,3.41,19.25,393.92
2015-05-31 14:00:00,56.67,121.27,30.24,38.79,2.91,17.92,382.58
2015-05-31 15:00:00,49.0,131.57,29.0,38.99,2.13,17.75,359.25
2015-05-31 16:00:00,47.83,121.93,37.02,38.04,2.06,19.75,276.08
2015-05-31 17:00:00,65.0,101.5,59.87,36.72,2.13,21.42,110.83
2015-05-31 18:00:00,55.36,84.01,79.04,34.96,2.58,23.42,34.92
2015-05-31 19:00:00,58.83,91.43,91.35,33.08,2.25,26.0,4.08
2015-05-31 20:00:00,56.67,68.36,72.27,31.53,2.63,29.25,3.42
2015-05-31 21:00:00,52.17,56.67,40.98,29.57,2.92,30.08,3.33
2015-05-31 22:00:00,65.5,52.15,69.77,30.02,2.69,26.33,3.33
2015-05-31 23:00:00,75.33,45.08,62.9,29.25,0.73,28.25,3.67
2015-06-01 00:00:00,67.0,25.74,68.74,28.31,1.12,30.75,3.25
2015-06-01 01:00:00,89.33,98.93,18.25,29.99,2.76,26.92,3.17
2015-06-01 02:00:00,67.33,117.09,11.38,29.09,1.48,26.58,3.5
2015-06-01 03:00:00,22.33,104.19,16.29,28.25,2.89,27.83,3.58
2015-06-01 04:00:00,31.83,61.5,17.23,25.02,3.05,38.67,3.92
2015-06-01 05:00:00,104.5,38.69,22.46,24.65,1.99,39.92,8.5
2015-06-01 06:00:00,25.83,37.47,28.63,24.78,1.35,41.0,36.08
2015-06-01 07:00:00,47.17,25.85,49.8,25.55,2.57,40.42,123.17
2015-06-01 08:00:00,57.67,38.9,72.54,31.3,1.96,29.5,345.92
2015-06-01 09:00:00,56.67,87.51,77.8,33.38,2.63,24.92,372.75
2015-06-01 10:00:00,61.67,122.24,52.0,34.34,2.43,23.25,349.5
2015-06-01 11:00:00,66.83,132.96,42.47,33.45,1.8,24.92,288.25
2015-06-01 12:00:00,52.33,133.52,21.63,33.78,2.77,22.5,344.0
2015-06-01 13:00:00,53.67,115.83,18.25,33.02,3.46,21.83,256.5
2015-06-01 14:00:00,36.0,98.87,21.15,29.27,3.5,29.83,161.42
2015-06-01 15:00:00,72.83,74.72,39.23,29.72,2.37,29.17,121.0
2015-06-01 16:00:00,33.17,59.18,53.46,30.82,2.42,24.92,68.75
2015-06-01 17:00:00,38.0,44.38,104.17,32.02,1.23,24.67,126.0
2015-06-01 18:00:00,34.67,11.69,263.28,30.26,0.58,29.83,27.08
2015-06-01 19:00:00,52.5,15.38,345.06,27.78,1.32,41.33,3.75
2015-06-01 20:00:00,89.67,29.68,45.16,20.46,3.11,68.17,3.17
2015-06-01 21:00:00,35.17,31.31,68.02,23.27,0.98,54.25,3.67
2015-06-01 22:00:00,22.17,11.85,128.94,23.81,1.28,56.0,3.25
2015-06-01 23:00:00,27.0,13.75,90.44,24.94,1.37,45.58,4.0
2015-06-02 00:00:00,25.67,25.29,49.27,26.2,0.98,37.75,3.5
2015-06-02 01:00:00,39.0,13.16,95.34,25.52,1.14,41.0,3.6
2015-06-02 15:00:00,174.8,242.81,48.65,35.82,1.0,20.5,216.9
2015-06-02 16:00:00,40.33,219.78,56.27,36.1,0.38,22.67,153.83
2015-06-02 17:00:00,55.67,89.33,121.03,33.66,1.33,27.67,61.33
2015-06-02 18:00:00,68.67,78.4,78.42,29.97,2.58,38.25,21.33
2015-06-02 19:00:00,50.83,43.78,83.64,25.38,1.85,53.42,3.58
2015-06-02 20:00:00,98.33,43.49,45.61,23.53,2.84,59.0,3.33
2015-06-02 21:00:00,112.0,26.06,171.38,22.38,0.45,60.17,3.42
2015-06-02 22:00:00,94.17,8.72,226.03,23.28,0.49,56.17,3.42
2015-06-02 23:00:00,78.91,34.92,161.48,23.8,0.3,55.42,3.42
2015-06-03 00:00:00,79.33,35.84,153.6,23.75,1.03,57.08,3.58
2015-06-03 01:00:00,106.67,25.17,77.23,25.36,1.07,44.75,3.17
2015-06-03 02:00:00,104.83,32.61,78.95,24.88,0.86,46.0,3.5
2015-06-03 03:00:00,74.17,22.33,75.34,24.46,2.02,48.33,3.33
2015-06-03 04:00:00,45.67,14.56,67.0,23.89,0.77,51.92,3.5
2015-06-03 05:00:00,34.17,9.65,88.72,23.15,0.43,57.58,11.58
2015-06-03 06:00:00,83.17,11.13,87.57,22.4,1.38,63.83,12.33
2015-06-03 07:00:00,70.83,13.79,142.42,22.76,1.01,62.5,69.75
2015-06-03 08:00:00,70.5,11.85,190.18,25.57,1.29,52.58,129.33
2015-06-03 09:00:00,143.33,9.51,214.86,27.04,1.17,45.42,148.5
2015-06-03 10:00:00,114.5,13.67,197.93,29.37,0.93,38.92,235.25
2015-06-03 11:00:00,90.33,20.7,148.65,29.4,1.26,38.67,215.17
2015-06-03 12:00:00,107.67,34.68,107.1,30.55,1.88,37.58,226.33
2015-06-03 13:00:00,99.0,23.32,89.58,28.13,1.99,42.08,169.92
2015-06-03 14:00:00,40.83,26.43,66.03,30.22,2.35,36.75,369.5
2015-06-03 15:00:00,87.0,41.67,43.66,31.16,2.73,34.42,371.75
2015-06-03 16:00:00,237.67,50.33,48.33,30.28,2.83,35.08,273.17
2015-06-03 17:00:00,66.0,40.55,71.7,28.63,1.88,37.5,84.08
2015-06-03 18:00:00,65.18,32.18,92.69,27.33,2.01,43.58,33.33
2015-06-03 19:00:00,58.5,24.87,102.5,26.42,1.81,46.0,4.33
2015-06-03 20:00:00,65.5,16.23,93.95,26.51,1.78,46.0,3.58
2015-06-03 21:00:00,63.5,24.32,73.65,26.15,2.57,45.25,3.58
2015-06-03 22:00:00,62.17,29.8,30.04,23.27,2.62,54.25,3.67
2015-06-03 23:00:00,43.17,27.92,43.21,23.68,1.55,51.75,3.58
2015-06-04 00:00:00,49.5,17.16,54.25,23.52,1.85,54.33,3.08
2015-06-04 01:00:00,75.5,18.31,53.01,23.26,1.22,56.58,3.42
2015-06-04 02:00:00,66.67,26.09,40.14,23.11,0.47,57.17,3.33
2015-06-04 03:00:00,58.67,22.39,51.95,22.82,0.41,58.92,3.17
2015-06-04 04:00:00,51.33,10.35,86.43,22.42,0.35,60.83,3.25
2015-06-04 05:00:00,52.17,11.59,102.97,22.2,0.61,63.17,17.92
2015-06-04 06:00:00,76.67,9.98,137.74,24.43,0.64,57.42,85.33
2015-06-04 07:00:00,99.83,11.57,110.76,27.13,1.15,51.08,217.33
2015-06-04 08:00:00,125.5,10.19,88.86,28.44,1.46,47.92,285.5
2015-06-04 09:00:00,138.83,21.32,63.13,29.68,1.76,44.58,347.17
2015-06-04 10:00:00,173.17,56.91,52.01,31.36,1.68,42.33,376.25
2015-06-04 11:00:00,192.5,122.12,48.63,33.17,1.53,37.17,382.0
2015-06-04 12:00:00,154.0,152.6,43.14,35.22,1.3,33.17,384.0
2015-06-04 13:00:00,116.0,151.35,22.65,37.16,1.85,27.0,390.42
2015-06-04 14:00:00,73.91,153.2,16.09,37.21,1.95,26.25,376.67
2015-06-04 17:00:00,86.0,119.88,23.68,35.47,1.63,26.75,122.5
2015-06-04 20:00:00,83.5,19.2,156.8,29.82,0.38,41.83,3.83
2015-06-04 21:00:00,109.17,5.88,220.52,28.9,0.35,45.75,3.67
2015-06-04 22:00:00,95.33,9.4,347.05,27.83,0.3,50.17,3.42
2015-06-04 23:00:00,128.67,7.63,296.8,27.02,0.3,54.42,3.67
2015-06-05 00:00:00,137.33,7.01,266.88,27.01,0.3,52.08,3.33
2015-06-05 01:00:00,130.5,4.02,174.91,26.68,0.35,51.5,3.33
2015-06-05 02:00:00,95.5,3.88,107.94,26.47,0.37,49.25,3.25
2015-06-05 03:00:00,133.0,5.02,82.67,25.83,0.33,51.83,3.33
2015-06-06 16:00:00,11.17,88.54,17.75,37.43,2.73,19.67,286.17
2015-06-06 17:00:00,52.67,92.19,19.64,36.41,2.21,20.92,119.08
2015-06-06 18:00:00,33.67,92.69,31.28,35.1,1.43,23.08,36.25
2015-06-06 19:00:00,46.82,48.92,108.96,33.1,0.41,27.33,4.67
2015-06-06 20:00:00,52.17,5.59,248.79,31.22,0.3,33.17,3.58
2015-06-06 21:00:00,105.67,9.41,454.38,29.79,0.3,38.83,3.58
2015-06-06 22:00:00,202.5,5.67,350.49,29.91,0.38,35.75,3.42
2015-06-06 23:00:00,117.67,6.01,178.2,29.8,0.38,33.58,3.42
2015-06-07 00:00:00,107.83,6.89,147.39,28.13,0.3,39.17,3.17
2015-06-07 01:00:00,121.67,11.05,180.32,26.72,0.3,47.42,3.25
2015-06-07 02:00:00,136.67,9.45,159.18,26.04,0.3,50.92,3.33
2015-06-07 03:00:00,98.33,9.08,217.64,25.61,0.3,53.08,3.25
2015-06-07 04:00:00,116.33,9.92,247.93,25.12,0.3,56.08,3.33
2015-06-07 05:00:00,132.0,10.58,363.8,24.95,0.3,58.33,14.33
2015-06-07 06:00:00,169.17,8.08,268.94,27.92,0.3,52.0,85.75
2015-06-07 07:00:00,139.83,7.18,240.07,31.81,0.46,38.58,197.67
2015-06-07 08:00:00,182.67,9.93,175.19,35.27,0.92,29.83,310.92
2015-06-07 09:00:00,165.0,6.5,60.41,38.1,1.48,22.75,353.08
2015-06-07 10:00:00,211.67,28.05,21.13,39.4,2.29,19.08,375.92
2015-06-07 11:00:00,91.73,58.27,15.07,40.33,2.74,17.58,385.42
2015-06-08 11:00:00,111.0,15.7,28.45,42.61,1.97,20.67,381.92
